Question,Answer,Category,Keywords,Source
Is GitHub submission compulsory?,"Yes, source code and the final report must be submitted on LMS and GitHub.",Projects,"GitHub, LMS",Student Handbook (Sem V)
How are project marks distributed?,Marks are divided into 40% individual and 60% group evaluation.,Projects,"marks, evaluation",Student Handbook (Sem V)
Does active GitHub work provide bonus marks?,"Yes, active GitHub work is listed among bonus-mark opportunities.",Projects,"bonus, GitHub",Student Handbook (Sem V)
Should the project have a live deployment?,Live deployment is listed as part of validation proof.,Projects,"deployment, validation",Student Handbook (Sem V)
Are Technical Training sessions compulsory?,"Yes, attendance in Technical Training and CRT sessions is mandatory.",Training,"CRT, attendance",Student Handbook (Sem V)
When are training sessions usually conducted?,They are generally scheduled from 3:30 PM to 5:30 PM on designated days.,Training,timing,Student Handbook (Sem V)
Can low attendance in training lead to action?,"Yes, low attendance may result in fines or other departmental actions.",Training,"fine, attendance",Student Handbook (Sem V)
Where are training updates shared?,Updates are shared through Class WhatsApp Groups and the Parakh Portal.,Training,"WhatsApp, Parakh",Student Handbook (Sem V)
What should I do first on the Parakh Portal?,Students should log in and verify their personal profile details.,Parakh Portal,"login, profile",Student Handbook (Sem V)
Can I check my attendance on Parakh?,"Yes, students should monitor attendance regularly on the portal.",Parakh Portal,attendance,Student Handbook (Sem V)
Can assignments be submitted through Parakh?,"Yes, assignments can be submitted through the portal wherever applicable.",Parakh Portal,assignments,Student Handbook (Sem V)
Can I upload project reports on Parakh?,"Yes, project reports and seminar presentations can be uploaded.",Parakh Portal,project report,Student Handbook (Sem V)
Can I register for placement drives through Parakh?,"Yes, students can register for training, internships, workshops and placement drives.",Parakh Portal,placement,Student Handbook (Sem V)
Can I check my CGPA on Parakh?,"Yes, students can view exam results and monitor CGPA.",Parakh Portal,"CGPA, results",Student Handbook (Sem V)
What other services are available on Parakh?,"The portal also provides LMS, Transport Services, Hostel Management, AI Trend Desk and student support services.",Parakh Portal,"LMS, hostel",Student Handbook (Sem V)
Is there a compulsory uniform?,ITM does not enforce a rigid uniform but expects neat and appropriate attire.,Dress Code,uniform,Student Handbook (Sem V)
Is carrying the ID card mandatory?,"Yes, the University ID card must be carried or worn at all times.",Dress Code,ID card,Student Handbook (Sem V)
Can students wear flip-flops in academic areas?,The handbook advises avoiding flip-flops and overly casual clothing in academic areas.,Dress Code,footwear,Student Handbook (Sem V)
What footwear is recommended in laboratories?,Closed footwear is recommended for safety.,Dress Code,"labs, footwear",Student Handbook (Sem V)
Can entry be denied for inappropriate attire?,"Yes, entry to classes, labs or examinations may be denied.",Dress Code,attire,Student Handbook (Sem V)
Who is eligible to join NCC?,"Regular first- and second-year ITM students are eligible, subject to vacancies.",NCC,eligibility,Student Handbook (Sem V)
What is the NCC selection process?,"It includes registration, physical fitness assessment, medical examination and a personal interview.",NCC,selection,Student Handbook (Sem V)
When is NCC registration generally held?,Registration generally takes place during July–August.,NCC,registration,Student Handbook (Sem V)
When are NCC parades conducted?,Regular parades are held every Thursday and Friday from 3:30 PM to 5:30 PM.,NCC,parade,Student Handbook (Sem V)
Is attendance compulsory in NCC activities?,"Yes, attendance in training, camps and NCC activities is mandatory.",NCC,attendance,Student Handbook (Sem V)
Whom should I contact for academic issues?,Students should contact their mentor first.,Student Support,mentor,Student Handbook (Sem V)
Whom should I contact for departmental matters?,Students should contact the Academic Coordinator or Head of Department.,Student Support,"HOD, coordinator",Student Handbook (Sem V)
Who handles school-level queries?,"School-level queries should be directed to the Dean, SOET.",Student Support,"Dean, SOET",Student Handbook (Sem V)
When does registration start for the Odd Semester?,Registration for the Odd Semester is scheduled for 7–8 July 2026.,Academic Calendar,"registration, odd semester",Academic Calendar 2026–27
When does registration start for the Even Semester?,Registration for the Even Semester is scheduled for 12–13 January 2027.,Academic Calendar,"registration, even semester",Academic Calendar 2026–27
When do Odd Semester classes begin?,Odd Semester classes commence on 8 July 2026.,Academic Calendar,"classes, odd semester",Academic Calendar 2026–27
When do Even Semester classes begin?,Even Semester classes commence on 13 January 2027.,Academic Calendar,"classes, even semester",Academic Calendar 2026–27
When are the Mid-Term Tests for the Odd Semester?,Mid-Term Tests are scheduled from 23–30 September 2026.,Academic Calendar,"mid term, odd semester",Academic Calendar 2026–27
When are the Mid-Term Tests for the Even Semester?,Mid-Term Tests are scheduled from 25 March–1 April 2027.,Academic Calendar,"mid term, even semester",Academic Calendar 2026–27
When is the Parent–Teacher Meeting for the Odd Semester?,The Parent–Teacher Meeting is on 16 October 2026.,Academic Calendar,"PTM, odd semester",Academic Calendar 2026–27
When is the Parent–Teacher Meeting for the Even Semester?,The Parent–Teacher Meeting is on 9 April 2027.,Academic Calendar,"PTM, even semester",Academic Calendar 2026–27
When is the last day of classes for the Odd Semester?,The last day of classes is 25 November 2026.,Academic Calendar,"last class, odd semester",Academic Calendar 2026–27
When is the last day of classes for the Even Semester?,The last day of classes is 26 April 2027.,Academic Calendar,"last class, even semester",Academic Calendar 2026–27
When are the Odd Semester practical exams?,Practical examinations are scheduled from 26 November–3 December 2026.,Academic Calendar,"practical exam, odd semester",Academic Calendar 2026–27
When are the Odd Semester theory exams?,Theory examinations are scheduled from 4–24 December 2026.,Academic Calendar,"theory exam, odd semester",Academic Calendar 2026–27
When are the Even Semester practical exams?,Practical examinations are scheduled from 23–30 April 2027.,Academic Calendar,"practical exam, even semester",Academic Calendar 2026–27
When are the Even Semester theory exams?,Theory examinations are scheduled from 3–21 May 2027.,Academic Calendar,"theory exam, even semester",Academic Calendar 2026–27
When will the Odd Semester result be declared?,The Odd Semester result is scheduled for 25 January 2027.,Academic Calendar,"result, odd semester",Academic Calendar 2026–27
When will the Even Semester result be declared?,The Even Semester result is scheduled for 18 June 2027.,Academic Calendar,"result, even semester",Academic Calendar 2026–27
When is the Odd Semester break?,The Odd Semester break is from 28 December 2026 to 11 January 2027.,Academic Calendar,"semester break, odd",Academic Calendar 2026–27
When is the Even Semester break?,The Even Semester break is from 24–28 May 2027.,Academic Calendar,"semester break, even",Academic Calendar 2026–27
When are internships conducted?,"Internships are conducted as per curriculum requirements, with a 4–6 week internship window from 24 May–7 July 2027.",Academic Calendar,"internship, training",Academic Calendar 2026–27
When does the new Odd Semester begin after the break?,The new Odd Semester begins on 8 July 2027.,Academic Calendar,"new semester, odd",Academic Calendar 2026–27
How many teaching days are there in the Odd Semester?,The Odd Semester has 92 teaching days.,Academic Calendar,"teaching days, odd",Academic Calendar 2026–27
How many teaching days are there in the Even Semester?,The Even Semester has 70 teaching days.,Academic Calendar,"teaching days, even",Academic Calendar 2026–27
How long are the Mid-Term examinations?,Mid-Term examinations are scheduled for 6 days in both semesters.,Academic Calendar,mid term duration,Academic Calendar 2026–27
How long are the End-Term examinations?,"End-Term examinations last 21 days, including 6 practical exam days and 15 theory exam days.",Academic Calendar,end term duration,Academic Calendar 2026–27
How many total working days are there in the Odd Semester?,The Odd Semester has 119 total working days.,Academic Calendar,"working days, odd",Academic Calendar 2026–27
How many total working days are there in the Even Semester?,The Even Semester has 97 total working days.,Academic Calendar,"working days, even",Academic Calendar 2026–27
When are the Deepawali holidays for students?,Deepawali holidays are from 9–11 November 2026.,Academic Calendar,Deepawali holiday,Academic Calendar 2026–27
When are the Holi holidays for students?,Holi holidays are from 22–23 March 2027.,Academic Calendar,Holi holiday,Academic Calendar 2026–27
What is the name of the college?,"The institution is ITM University, Gwalior.",General,"college name, university",Student Handbook
Where is ITM University located?,"ITM University is located in Gwalior, Madhya Pradesh.",General,"location, Gwalior",Student Handbook
What does ITM stand for?,The handbook identifies the institution as ITM University.,General,"ITM, full form",Student Handbook
Which department is this handbook for?,The handbook is for the Department of Computer Science Engineering (AI & ML).,Department,"CSE, AI ML, department",Student Handbook
Which semester does this handbook belong to?,The handbook is prepared for Semester V.,General,"semester 5, handbook",Student Handbook
Which academic years are covered in the academic calendar?,The academic calendar covers the 2026–2027 academic session.,Academic Calendar,"academic year, 2026 2027",Academic Calendar 2026–27
Is the academic calendar applicable to the semester system?,"Yes, it is prepared for the II, III and IV Year Semester System.",Academic Calendar,semester system,Academic Calendar 2026–27
Who signed the academic calendar?,The calendar is signed by Dean Academics I Dr. Ranjeet Singh Tomar and Dean Academics II Dr. Sonia Johri.,Academic Calendar,Dean Academics,Academic Calendar 2026–27
Does the university conduct Parent–Teacher Meetings?,"Yes, Parent–Teacher Meetings are included in the academic calendar.",Academic Calendar,PTM,Academic Calendar 2026–27
Are practical and theory examinations conducted separately?,"Yes, practical examinations and theory examinations have separate schedules.",Examinations,"practical, theory",Academic Calendar 2026–27
Is internship part of the curriculum?,"Yes, internships are included as per curriculum requirements.",Internship,"internship, curriculum",Academic Calendar 2026–27
Does the handbook mention NPTEL courses?,"Yes, NPTEL is included in the handbook.",NPTEL,"NPTEL, online course",Student Handbook
Does the handbook mention GitHub for projects?,"Yes, GitHub is mentioned as part of project-related work.",Projects,"GitHub, project",Student Handbook
Does the handbook mention Parakh?,"Yes, the handbook includes information about the Parakh portal.",Parakh Portal,"Parakh, portal",Student Handbook
Does the handbook mention NCC activities?,"Yes, NCC is included as a student activity.",NCC,"NCC, activity",Student Handbook
Is carrying an ID card mandatory?,"Yes, the handbook states that carrying an ID card is mandatory.",Dress Code,"ID card, rule",Student Handbook
Can students access the syllabus through official resources?,"Yes, the handbook provides guidance for accessing the syllabus.",Syllabus,"syllabus, academic",Student Handbook
Does the handbook include attendance rules?,"Yes, attendance requirements are described in the handbook.",Attendance,"attendance, rules",Student Handbook
Can I check my academic information online?,"Yes, the handbook mentions the Parakh portal for academic information.",Parakh Portal,"academic information, online",Student Handbook
What kind of questions can CollegeBuddy answer?,"CollegeBuddy is designed to answer questions related to academics, attendance, examinations, projects, NPTEL, NCC, Parakh, internships and other college information available in official sources.",General,"chatbot, college information",Project FAQ
