Question,Answer,Category,Keywords,Source
Is GitHub submission compulsory?,"Yes, source code and the final report must be submitted on LMS and GitHub.",Projects,"GitHub, LMS",Student Handbook (Sem V)
How are project marks distributed?,Marks are divided into 40% individual and 60% group evaluation.,Projects,"marks, evaluation",Student Handbook (Sem V)
Does active GitHub work provide bonus marks?,"Yes, active GitHub work is listed among bonus-mark opportunities.",Projects,"bonus, GitHub",Student Handbook (Sem V)
Should the project have a live deployment?,Live deployment is listed as part of validation proof.,Projects,"deployment, validation",Student Handbook (Sem V)
Are Technical Training sessions compulsory?,"Yes, attendance in Technical Training and CRT sessions is mandatory.",Training,"CRT, attendance",Student Handbook (Sem V)
When are training sessions usually conducted?,They are generally scheduled from 3:30 PM to 5:30 PM on designated days.,Training,timing,Student Handbook (Sem V)
Can low attendance in training lead to action?,"Yes, low attendance may result in fines or other departmental actions.",Training,"fine, attendance",Student Handbook (Sem V)
Where are training updates shared?,Updates are shared through Class WhatsApp Groups and the Parakh Portal.,Training,"WhatsApp, Parakh",Student Handbook (Sem V)
What should I do first on the Parakh Portal?,Students should log in and verify their personal profile details.,Parakh Portal,"login, profile",Student Handbook (Sem V)
Can I check my attendance on Parakh?,"Yes, students should monitor attendance regularly on the portal.",Parakh Portal,attendance,Student Handbook (Sem V)
Can assignments be submitted through Parakh?,"Yes, assignments can be submitted through the portal wherever applicable.",Parakh Portal,assignments,Student Handbook (Sem V)
Can I upload project reports on Parakh?,"Yes, project reports and seminar presentations can be uploaded.",Parakh Portal,project report,Student Handbook (Sem V)
Can I register for placement drives through Parakh?,"Yes, students can register for training, internships, workshops and placement drives.",Parakh Portal,placement,Student Handbook (Sem V)
Can I check my CGPA on Parakh?,"Yes, students can view exam results and monitor CGPA.",Parakh Portal,"CGPA, results",Student Handbook (Sem V)
What other services are available on Parakh?,"The portal also provides LMS, Transport Services, Hostel Management, AI Trend Desk and student support services.",Parakh Portal,"LMS, hostel",Student Handbook (Sem V)
Is there a compulsory uniform?,ITM does not enforce a rigid uniform but expects neat and appropriate attire.,Dress Code,uniform,Student Handbook (Sem V)
Is carrying the ID card mandatory?,"Yes, the University ID card must be carried or worn at all times.",Dress Code,ID card,Student Handbook (Sem V)
Can students wear flip-flops in academic areas?,The handbook advises avoiding flip-flops and overly casual clothing in academic areas.,Dress Code,footwear,Student Handbook (Sem V)
What footwear is recommended in laboratories?,Closed footwear is recommended for safety.,Dress Code,"labs, footwear",Student Handbook (Sem V)
Can entry be denied for inappropriate attire?,"Yes, entry to classes, labs or examinations may be denied.",Dress Code,attire,Student Handbook (Sem V)
Who is eligible to join NCC?,"Regular first- and second-year ITM students are eligible, subject to vacancies.",NCC,eligibility,Student Handbook (Sem V)
What is the NCC selection process?,"It includes registration, physical fitness assessment, medical examination and a personal interview.",NCC,selection,Student Handbook (Sem V)
When is NCC registration generally held?,Registration generally takes place during July–August.,NCC,registration,Student Handbook (Sem V)
When are NCC parades conducted?,Regular parades are held every Thursday and Friday from 3:30 PM to 5:30 PM.,NCC,parade,Student Handbook (Sem V)
Is attendance compulsory in NCC activities?,"Yes, attendance in training, camps and NCC activities is mandatory.",NCC,attendance,Student Handbook (Sem V)
Whom should I contact for academic issues?,Students should contact their mentor first.,Student Support,mentor,Student Handbook (Sem V)
Whom should I contact for departmental matters?,Students should contact the Academic Coordinator or Head of Department.,Student Support,"HOD, coordinator",Student Handbook (Sem V)
Who handles school-level queries?,"School-level queries should be directed to the Dean, SOET.",Student Support,"Dean, SOET",Student Handbook (Sem V)
When does registration start for the Odd Semester?,Registration for the Odd Semester is scheduled for 7–8 July 2026.,Academic Calendar,"registration, odd semester",Academic Calendar 2026–27
When does registration start for the Even Semester?,Registration for the Even Semester is scheduled for 12–13 January 2027.,Academic Calendar,"registration, even semester",Academic Calendar 2026–27
When do Odd Semester classes begin?,Odd Semester classes commence on 8 July 2026.,Academic Calendar,"classes, odd semester",Academic Calendar 2026–27
When do Even Semester classes begin?,Even Semester classes commence on 13 January 2027.,Academic Calendar,"classes, even semester",Academic Calendar 2026–27
When are the Mid-Term Tests for the Odd Semester?,Mid-Term Tests are scheduled from 23–30 September 2026.,Academic Calendar,"mid term, odd semester",Academic Calendar 2026–27
When are the Mid-Term Tests for the Even Semester?,Mid-Term Tests are scheduled from 25 March–1 April 2027.,Academic Calendar,"mid term, even semester",Academic Calendar 2026–27
When is the Parent–Teacher Meeting for the Odd Semester?,The Parent–Teacher Meeting is on 16 October 2026.,Academic Calendar,"PTM, odd semester",Academic Calendar 2026–27
When is the Parent–Teacher Meeting for the Even Semester?,The Parent–Teacher Meeting is on 9 April 2027.,Academic Calendar,"PTM, even semester",Academic Calendar 2026–27
When is the last day of classes for the Odd Semester?,The last day of classes is 25 November 2026.,Academic Calendar,"last class, odd semester",Academic Calendar 2026–27
When is the last day of classes for the Even Semester?,The last day of classes is 26 April 2027.,Academic Calendar,"last class, even semester",Academic Calendar 2026–27
When are the Odd Semester practical exams?,Practical examinations are scheduled from 26 November–3 December 2026.,Academic Calendar,"practical exam, odd semester",Academic Calendar 2026–27
When are the Odd Semester theory exams?,Theory examinations are scheduled from 4–24 December 2026.,Academic Calendar,"theory exam, odd semester",Academic Calendar 2026–27
When are the Even Semester practical exams?,Practical examinations are scheduled from 23–30 April 2027.,Academic Calendar,"practical exam, even semester",Academic Calendar 2026–27
When are the Even Semester theory exams?,Theory examinations are scheduled from 3–21 May 2027.,Academic Calendar,"theory exam, even semester",Academic Calendar 2026–27
When will the Odd Semester result be declared?,The Odd Semester result is scheduled for 25 January 2027.,Academic Calendar,"result, odd semester",Academic Calendar 2026–27
When will the Even Semester result be declared?,The Even Semester result is scheduled for 18 June 2027.,Academic Calendar,"result, even semester",Academic Calendar 2026–27
When is the Odd Semester break?,The Odd Semester break is from 28 December 2026 to 11 January 2027.,Academic Calendar,"semester break, odd",Academic Calendar 2026–27
When is the Even Semester break?,The Even Semester break is from 24–28 May 2027.,Academic Calendar,"semester break, even",Academic Calendar 2026–27
When are internships conducted?,"Internships are conducted as per curriculum requirements, with a 4–6 week internship window from 24 May–7 July 2027.",Academic Calendar,"internship, training",Academic Calendar 2026–27
When does the new Odd Semester begin after the break?,The new Odd Semester begins on 8 July 2027.,Academic Calendar,"new semester, odd",Academic Calendar 2026–27
How many teaching days are there in the Odd Semester?,The Odd Semester has 92 teaching days.,Academic Calendar,"teaching days, odd",Academic Calendar 2026–27
How many teaching days are there in the Even Semester?,The Even Semester has 70 teaching days.,Academic Calendar,"teaching days, even",Academic Calendar 2026–27
How long are the Mid-Term examinations?,Mid-Term examinations are scheduled for 6 days in both semesters.,Academic Calendar,mid term duration,Academic Calendar 2026–27
How long are the End-Term examinations?,"End-Term examinations last 21 days, including 6 practical exam days and 15 theory exam days.",Academic Calendar,end term duration,Academic Calendar 2026–27
How many total working days are there in the Odd Semester?,The Odd Semester has 119 total working days.,Academic Calendar,"working days, odd",Academic Calendar 2026–27
How many total working days are there in the Even Semester?,The Even Semester has 97 total working days.,Academic Calendar,"working days, even",Academic Calendar 2026–27
When are the Deepawali holidays for students?,Deepawali holidays are from 9–11 November 2026.,Academic Calendar,Deepawali holiday,Academic Calendar 2026–27
When are the Holi holidays for students?,Holi holidays are from 22–23 March 2027.,Academic Calendar,Holi holiday,Academic Calendar 2026–27
What is the name of the college?,"The institution is ITM University, Gwalior.",General,"college name, university",Student Handbook
Where is ITM University located?,"ITM University is located in Gwalior, Madhya Pradesh.",General,"location, Gwalior",Student Handbook
What does ITM stand for?,The handbook identifies the institution as ITM University.,General,"ITM, full form",Student Handbook
Which department is this handbook for?,The handbook is for the Department of Computer Science Engineering (AI & ML).,Department,"CSE, AI ML, department",Student Handbook
Which semester does this handbook belong to?,The handbook is prepared for Semester V.,General,"semester 5, handbook",Student Handbook
Which academic years are covered in the academic calendar?,The academic calendar covers the 2026–2027 academic session.,Academic Calendar,"academic year, 2026 2027",Academic Calendar 2026–27
Is the academic calendar applicable to the semester system?,"Yes, it is prepared for the II, III and IV Year Semester System.",Academic Calendar,semester system,Academic Calendar 2026–27
Who signed the academic calendar?,The calendar is signed by Dean Academics I Dr. Ranjeet Singh Tomar and Dean Academics II Dr. Sonia Johri.,Academic Calendar,Dean Academics,Academic Calendar 2026–27
Does the university conduct Parent–Teacher Meetings?,"Yes, Parent–Teacher Meetings are included in the academic calendar.",Academic Calendar,PTM,Academic Calendar 2026–27
Are practical and theory examinations conducted separately?,"Yes, practical examinations and theory examinations have separate schedules.",Examinations,"practical, theory",Academic Calendar 2026–27
Is internship part of the curriculum?,"Yes, internships are included as per curriculum requirements.",Internship,"internship, curriculum",Academic Calendar 2026–27
Does the handbook mention NPTEL courses?,"Yes, NPTEL is included in the handbook.",NPTEL,"NPTEL, online course",Student Handbook
Does the handbook mention GitHub for projects?,"Yes, GitHub is mentioned as part of project-related work.",Projects,"GitHub, project",Student Handbook
Does the handbook mention Parakh?,"Yes, the handbook includes information about the Parakh portal.",Parakh Portal,"Parakh, portal",Student Handbook
Does the handbook mention NCC activities?,"Yes, NCC is included as a student activity.",NCC,"NCC, activity",Student Handbook
Is carrying an ID card mandatory?,"Yes, the handbook states that carrying an ID card is mandatory.",Dress Code,"ID card, rule",Student Handbook
Can students access the syllabus through official resources?,"Yes, the handbook provides guidance for accessing the syllabus.",Syllabus,"syllabus, academic",Student Handbook
Does the handbook include attendance rules?,"Yes, attendance requirements are described in the handbook.",Attendance,"attendance, rules",Student Handbook
Can I check my academic information online?,"Yes, the handbook mentions the Parakh portal for academic information.",Parakh Portal,"academic information, online",Student Handbook
What kind of questions can CollegeBuddy answer?,"CollegeBuddy is designed to answer questions related to academics, attendance, examinations, projects, NPTEL, NCC, Parakh, internships and other college information available in official sources.",General,"chatbot, college information",Project FAQ
What is the annual fee for B.Tech Computer Science Engineering?,"The proposed annual fee for B.Tech Computer Science Engineering is ₹1,75,000 for 2025–26.",Fees,"btech,cse,computer science,fee,annual",ITM University Proposed Fee Structure 2025–26
What is the fee for B.Tech AI and Machine Learning?,"The proposed annual fee for B.Tech Computer Science Engineering (AI and Machine Learning) is ₹1,75,000.",Fees,"aiml,artificial intelligence,machine learning,btech,fee",ITM University Proposed Fee Structure 2025–26
What is the fee for B.Tech Cyber Security?,"The proposed annual fee for B.Tech Computer Science Engineering (Cyber Security) is ₹1,75,000.",Fees,"cyber security,btech,fee,cse",ITM University Proposed Fee Structure 2025–26
What is the fee for Civil Engineering?,"The proposed annual fee for B.Tech Civil Engineering is ₹1,01,000.",Fees,"civil engineering,btech,fee",ITM University Proposed Fee Structure 2025–26
What is the fee for Mechanical Engineering?,"The proposed annual fee for B.Tech Mechanical Engineering (Mechatronics) is ₹1,01,000.",Fees,"mechanical engineering,mechatronics,btech,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for MCA?,"The proposed annual fee for MCA is ₹80,000.",Fees,"mca,computer application,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for BCA?,"The proposed annual fee for BCA/BCA (Honours/Research) is ₹70,000.",Fees,"bca,computer application,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for MBA Dual Specialization?,"The proposed annual fee for MBA (Dual Specialization) is ₹1,75,000.",Fees,"mba,dual specialization,fee",ITM University Proposed Fee Structure 2025–26
What is the fee for MBA Data Science?,"The proposed annual fee for MBA (Data Science) is ₹2,00,000.",Fees,"mba,data science,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for BBA?,"The proposed annual fee for BBA/BBA (Honours/Research) is ₹1,00,000.",Fees,"bba,business,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for B.Com?,"The proposed annual fee for B.Com/B.Com (Honours/Research) is ₹65,000.",Fees,"bcom,commerce,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for B.Pharm?,"The proposed annual fee for B.Pharm is ₹1,00,000.",Fees,"bpharm,pharmacy,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for Pharm D?,"The proposed annual fee for Pharm D is ₹2,00,000.",Fees,"pharm d,doctor of pharmacy,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for B.Sc Nursing?,"The proposed annual fee for B.Sc Nursing is ₹1,50,000.",Fees,"bsc nursing,nursing,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for B.Sc Agriculture?,"The proposed annual fee for B.Sc (Honours) Agriculture is ₹1,50,000.",Fees,"agriculture,bsc,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for B.Sc Horticulture?,"The proposed annual fee for B.Sc (Honours) Horticulture is ₹90,000.",Fees,"horticulture,bsc,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for LLB?,"The proposed annual fee for LLB is ₹30,000.",Fees,"llb,law,fee",ITM University Proposed Fee Structure 2025–26
What is the annual fee for BA LLB?,"The proposed annual fee for BA LLB (Honours) is ₹75,000.",Fees,"ba llb,law,fee",ITM University Proposed Fee Structure 2025–26
Is there a refundable caution money?,"Yes. A refundable caution money of ₹5,000 is applicable after course completion.",Fees,"caution money,refundable,deposit",ITM University Proposed Fee Structure 2025–26
What is the application form fee?,"The application form fee is ₹1,000.",Fees,"application form,admission,fee",ITM University Proposed Fee Structure 2025–26
Are B.Tech fees charged semester-wise?,Yes. B.Tech programs in the fee structure are charged semester-wise.,Fees,"semester wise,btech,payment",ITM University Proposed Fee Structure 2025–26
Are all fees applicable to Indian students?,Yes. The proposed fees are specified for Indian students.,Fees,"indian student,fee policy",ITM University Proposed Fee Structure 2025–26
Is D.Pharm charged yearly?,Yes. D.Pharm follows a yearly fee scheme.,Fees,"dpharm,yearly fee",ITM University Proposed Fee Structure 2025–26
Is MCA charged semester-wise?,Yes. MCA follows a semester-wise fee scheme.,Fees,"mca,semester wise",ITM University Proposed Fee Structure 2025–26
Is the caution money refundable?,"Yes. The ₹5,000 caution money is refundable after course completion.",Fees,"refundable,caution money",ITM University Proposed Fee Structure 2025–26
Is ITM University Gwalior recognized by UGC?,Yes. ITM University Gwalior is recognized by the UGC under Section 2(f) and can confer degrees under Section 22(1).,Admission,"ugc,recognition,2f,degrees",ITM University Brochure 2026–27
Under which Act was ITM University established?,ITM University Gwalior was established under the State Legislative Act of the Government of Madhya Pradesh.,Admission,"state legislative act,madhya pradesh",ITM University Brochure 2026–27
Is ITM University a member of AIU?,Yes. ITM University Gwalior is a member of the Association of Indian Universities (AIU).,Admission,"aiu,membership",ITM University Brochure 2026–27
Is ITM University NAAC accredited?,Yes. ITM University Gwalior is NAAC accredited.,Admission,"naac,accreditation",ITM University Brochure 2026–27
Can ITM University award degrees legally?,Yes. The university is empowered to confer degrees and diplomas under Section 22(1) of the UGC Act.,Admission,"degrees,diplomas,ugc act",ITM University Brochure 2026–27
Where is ITM University Gwalior located?,"ITM University Gwalior is located in Gwalior, Madhya Pradesh.",Facilities,"location,gwalior,campus",ITM University Brochure 2026–27
What is the vision of ITM University?,"The vision is to be a leading global multidisciplinary university with a transformative impact through teaching, research, creativity, outreach and entrepreneurship.",About,"vision,multidisciplinary",ITM University Brochure 2026–27
What is the mission of ITM University?,"The university aims to provide transformative learning, promote innovation and research, and develop multidisciplinary collaborations.",About,"mission,innovation,research",ITM University Brochure 2026–27
What values does ITM University follow?,"ITM follows transparency, shared governance, inclusivity, sustainable development, academic freedom, empathy and integrity.",About,"values,integrity,inclusivity",ITM University Brochure 2026–27
Does ITM focus on entrepreneurship?,Yes. ITM encourages entrepreneurship through IdeaPad and startup support.,Placements,"entrepreneurship,ideapad,startup",ITM University Brochure 2026–27
What is IdeaPad?,IdeaPad is ITM University's business incubator that supports students in turning ideas into startups.,Placements,"ideapad,business incubator",ITM University Brochure 2026–27
Can students start startups at ITM?,Yes. Students can develop entrepreneurial ideas through the university's IdeaPad incubator.,Placements,"startup,entrepreneur",ITM University Brochure 2026–27
Does ITM offer industry immersion programs?,Yes. Industry immersion programs are part of the university's teaching approach.,Academics,industry immersion,ITM University Brochure 2026–27
What teaching methods are used at ITM?,"The university uses project-based learning, problem-based learning, flipped classrooms and industry immersion.",Academics,"pbl,problem based,flipped classroom",ITM University Brochure 2026–27
Are AI courses mandatory?,Yes. Artificial Intelligence courses are mandatory for all students.,Academics,"artificial intelligence,mandatory",ITM University Brochure 2026–27
Are Indian Knowledge Systems mandatory?,Yes. Indian Knowledge Systems (IKS) courses are mandatory for all students.,Academics,"iks,indian knowledge systems",ITM University Brochure 2026–27
Does ITM collaborate with industries?,Yes. The university has collaborations with leading industries to keep education industry-driven.,Placements,"industry collaboration,mou",ITM University Brochure 2026–27
Does ITM have MoUs with companies?,Yes. The university has MoUs with industries for curriculum development and student training.,Placements,"mou,industry",ITM University Brochure 2026–27
What modern technologies are taught?,"Students are exposed to AI, Blockchain, Deep Learning, Nanotechnology and Robotics.",Academics,"blockchain,deep learning,nanotechnology,robotics",ITM University Brochure 2026–27
Does ITM support research?,Yes. ITM promotes research through dedicated research labs and innovation initiatives.,Research,"research,labs",ITM University Brochure 2026–27
What research areas are highlighted?,"Research focuses on climate change, biodiversity, environmental pollution, food security, water scarcity and health.",Research,"climate,biodiversity,food security",ITM University Brochure 2026–27
Does ITM encourage innovation?,Yes. Innovation and creativity are important parts of the university's academic environment.,Research,"innovation,creativity",ITM University Brochure 2026–27
What is SWAYAM–NPTEL?,SWAYAM–NPTEL is a learning initiative highlighted by the university for additional learning opportunities.,Academics,"swayam,nptel",ITM University Brochure 2026–27
Can students learn through NPTEL?,Yes. The university promotes learning through SWAYAM–NPTEL.,Academics,"nptel,swayam",ITM University Brochure 2026–27
Does ITM have sports facilities?,Yes. ITM provides world-class sports facilities for students.,Facilities,"sports,facilities",ITM University Brochure 2026–27
Does ITM promote community engagement?,Yes. Community engagement is one of the important initiatives highlighted by the university.,Student Life,community engagement,ITM University Brochure 2026–27
What is Student Life like at ITM?,"The university promotes academics along with cultural, sports and extracurricular activities.",Student Life,"student life,campus",ITM University Brochure 2026–27
Does ITM organize cultural events?,Yes. ITM organizes various cultural and academic events throughout the year.,Student Life,cultural events,ITM University Brochure 2026–27
What is UNIFEST?,UNIFEST is one of ITM University's signature student events.,Student Life,"unifest,event",ITM University Brochure 2026–27
What is NAAD?,NAAD is a signature event hosted at ITM University's amphitheatre.,Student Life,"naad,amphitheatre",ITM University Brochure 2026–27
Does ITM celebrate national festivals?,Yes. National festivals such as Independence Day and Republic Day are celebrated on campus.,Student Life,national festivals,ITM University Brochure 2026–27
Does ITM welcome international students?,Yes. The university highlights an inclusive environment for international students.,Student Life,international students,ITM University Brochure 2026–27
What schools are available at ITM?,"The university has schools for Engineering, Management, Sciences, Agriculture, Law, Nursing, Pharmacy and other disciplines.",Departments,"schools,engineering,management",ITM University Brochure 2026–27
Who is the Vice Chancellor of ITM University?,The Vice Chancellor is Prof. (Dr.) Yogesh Upadhyay.,About,vice chancellor,ITM University Brochure 2026–27
Who is the Controller of Examination?,The Controller of Examination is Dr. Dinesh Singh Tomar.,Examination,"controller of examination,coe",ITM University Brochure 2026–27
What is the highest placement package at ITM University Gwalior?,The highest placement package highlighted is 45 LPA.,Placements,"highest package,45 lpa,placement",ITM University Admission Webpage 2026–27
How many international MoUs does ITM University have?,The university highlights 40+ international MoUs.,About,"mou,international partnerships",ITM University Admission Webpage 2026–27
How many global tie-ups does ITM University have?,The university highlights 25+ global academic tie-ups.,About,"global tie-ups,academic collaboration",ITM University Admission Webpage 2026–27
How large is the ITM University campus?,The campus is spread across 165+ acres.,Facilities,"campus size,165 acres",ITM University Admission Webpage 2026–27
How many startups are associated with ITM University?,The university highlights 100+ startup projects.,Placements,"startup projects,entrepreneurship",ITM University Admission Webpage 2026–27
How many nationalities are represented at ITM University?,The university highlights students from 20+ nationalities.,Student Life,"international students,nationalities",ITM University Admission Webpage 2026–27
What is the ITM University admission helpline number?,The campus admission helpline is +91 6264865609.,Admission,"admission helpline,campus office",ITM University Admission Webpage 2026–27
What is the ITM University toll-free admission number?,The toll-free admission number is 18002700031.,Admission,"toll free,admission",ITM University Admission Webpage 2026–27
What is the admission email address of ITM University?,The admission email is admission@itmuniversity.ac.in.,Admission,"admission email,contact",ITM University Admission Webpage 2026–27
How can students from North East India contact ITM University?,The North East India regional office phone is +91 9303769755.,Admission,"north east,regional office",ITM University Admission Webpage 2026–27
What is the West Bengal admission office contact number?,The West Bengal regional office phone is +91 9993505640.,Admission,"west bengal,regional office",ITM University Admission Webpage 2026–27
What is the Patna admission office contact number?,The Patna regional office can be contacted at +91 7974099782 or +91 9534899990.,Admission,"patna,east india office",ITM University Admission Webpage 2026–27
Who should B.Tech and M.Tech students contact for admission counselling?,B.Tech/M.Tech counselling is handled by Mr. Kapil Sharma and Mr. Rahul Ojha.,Admission,"btech,mtech,counselling",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Computer Applications?,The Computer Applications counsellor is Ms. Neha Dubey.,Admission,"computer applications,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Pharmacy and Life Sciences?,The counsellor is Mr. Ajaydeep Singh Rawat.,Admission,"pharmacy,life sciences,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Agriculture?,The Agriculture counsellor is Ms. Shivangi Choudhary.,Admission,"agriculture,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Nursing?,The Nursing counsellor is Ms. Bhumika Sachdeva.,Admission,"nursing,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Law?,The Law counsellor is Ms. Honey Gupta.,Admission,"law,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Education?,The Education counsellor is Dr. Neetu Singh Chauhan.,Admission,"education,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Journalism?,The Journalism counsellor is Ms. Honey Gupta.,Admission,"journalism,counsellor",ITM University Admission Webpage 2026–27
Who is the admission counsellor for Sports Education?,The Sports Education counsellor is Ms. Shamim Khan.,Admission,"sports education,counsellor",ITM University Admission Webpage 2026–27
What is the Early Bird Scholarship?,The Early Bird Scholarship offers up to 25% fee concession in the first year for eligible students who confirm admission before the cut-off date.,Scholarships,"early bird,25%,first year",ITM University Scholarship Webpage 2026–27
Who is eligible for the Early Bird Scholarship?,Students who confirm admission before the cut-off date in the admission year for eligible programs can apply.,Scholarships,"eligibility,early bird,cut-off",ITM University Scholarship Webpage 2026–27
What is the CUET Scholarship benefit?,The CUET Scholarship provides a 10% course fee concession.,Scholarships,"cuet,10%,fee concession",ITM University Scholarship Webpage 2026–27
Who can apply for the CUET Scholarship?,Students with a valid CUET scorecard for eligible UG and PG programs can apply.,Scholarships,"cuet scorecard,ug,pg",ITM University Scholarship Webpage 2026–27
What is the ITMU NEST Scholarship?,The ITMU NEST Scholarship offers a 10% fee concession for students who qualify ITMU NEST.,Scholarships,"itmu nest,10%,scholarship",ITM University Scholarship Webpage 2026–27
Can ITMU NEST Scholarship be combined with other scholarships?,No. The ITMU NEST Scholarship cannot be combined with other scholarships.,Scholarships,"not combinable,itmu nest",ITM University Scholarship Webpage 2026–27
What is the maximum benefit under Merit-Based Scholarships?,Merit-Based Scholarships offer fee concessions up to 60% for academic excellence.,Scholarships,"merit,60%,academic excellence",ITM University Scholarship Webpage 2026–27
How are Merit-Based Scholarships awarded?,"They are awarded based on Class 12 marks, graduation marks, JEE or other national/state entrance exams, and merit ranking.",Scholarships,"class 12,JEE,merit",ITM University Scholarship Webpage 2026–27
What are the continuation requirements for Merit Scholarships?,"Students must maintain the required academic performance band, have no backlogs, and continue satisfactory performance.",Scholarships,"continuation,no backlogs",ITM University Scholarship Webpage 2026–27
What is the Humble (Need-Based) Scholarship?,The Humble Scholarship offers a 15% fee concession for eligible students with verified financial need.,Scholarships,"need based,humble,15%",ITM University Scholarship Webpage 2026–27
